Year,Berkeley Earth (degC),Berkeley Earth uncertainty
1850,-0.22,0.653
1851,-0.10,0.618
1852,-0.08,0.593
1853,-0.07,0.598
1854,-0.07,0.577
1855,-0.06,0.562
1856,-0.18,0.596
1857,-0.32,0.535
1858,-0.11,0.528
1859,0.00,0.528
1860,-0.15,0.544
1861,-0.23,0.541
1862,-0.34,0.532
1863,-0.12,0.601
1864,-0.13,0.550
1865,-0.03,0.537
1866,0.02,0.546
1867,0.07,0.598
1868,0.02,0.491
1869,0.01,0.505
1870,-0.06,0.485
1871,-0.11,0.479
1872,-0.08,0.486
1873,-0.04,0.423
1874,-0.09,0.444
1875,-0.12,0.393
1876,-0.13,0.374
1877,0.26,0.378
1878,0.34,0.417
1879,-0.00,0.372
1880,-0.07,0.376
1881,0.05,0.369
1882,-0.02,0.323
1883,-0.07,0.310
1884,-0.23,0.313
1885,-0.20,0.313
1886,-0.23,0.303
1887,-0.26,0.299
1888,-0.06,0.291
1889,0.07,0.297
1890,-0.22,0.295
1891,-0.10,0.290
1892,-0.17,0.296
1893,-0.14,0.281
1894,-0.14,0.278
1895,-0.07,0.283
1896,0.02,0.274
1897,0.04,0.276
1898,-0.18,0.272
1899,-0.00,0.269
1900,0.11,0.273
1901,0.03,0.275
1902,-0.13,0.265
1903,-0.23,0.264
1904,-0.28,0.263
1905,-0.10,0.265
1906,-0.02,0.269
1907,-0.19,0.264
1908,-0.21,0.251
1909,-0.27,0.243
1910,-0.23,0.237
1911,-0.25,0.239
1912,-0.17,0.238
1913,-0.14,0.236
1914,0.04,0.244
1915,0.09,0.251
1916,-0.14,0.252
1917,-0.29,0.259
1918,-0.13,0.254
1919,-0.06,0.257
1920,-0.01,0.252
1921,0.04,0.245
1922,-0.04,0.239
1923,-0.01,0.240
1924,-0.02,0.242
1925,0.02,0.243
1926,0.16,0.242
1927,0.04,0.236
1928,0.05,0.241
1929,-0.13,0.240
1930,0.09,0.247
1931,0.16,0.241
1932,0.12,0.238
1933,-0.08,0.237
1934,0.07,0.237
1935,0.01,0.237
1936,0.08,0.234
1937,0.24,0.234
1938,0.24,0.233
1939,0.22,0.245
1940,0.30,0.259
1941,0.26,0.414
1942,0.27,0.416
1943,0.32,0.413
1944,0.43,0.412
1945,0.30,0.414
1946,0.15,0.309
1947,0.22,0.300
1948,0.13,0.284
1949,0.12,0.250
1950,0.06,0.214
1951,0.23,0.191
1952,0.31,0.219
1953,0.38,0.224
1954,0.18,0.203
1955,0.13,0.183
1956,0.05,0.151
1957,0.28,0.159
1958,0.28,0.145
1959,0.26,0.142
1960,0.21,0.131
1961,0.28,0.125
1962,0.23,0.116
1963,0.27,0.123
1964,0.00,0.110
1965,0.12,0.119
1966,0.18,0.115
1967,0.21,0.111
1968,0.14,0.110
1969,0.29,0.096
1970,0.24,0.086
1971,0.12,0.088
1972,0.23,0.101
1973,0.37,0.094
1974,0.16,0.090
1975,0.23,0.095
1976,0.14,0.101
1977,0.47,0.102
1978,0.34,0.092
1979,0.42,0.077
1980,0.54,0.087
1981,0.59,0.089
1982,0.37,0.110
1983,0.55,0.096
1984,0.39,0.098
1985,0.38,0.091
1986,0.44,0.083
1987,0.57,0.082
1988,0.62,0.084
1989,0.51,0.089
1990,0.70,0.088
1991,0.68,0.083
1992,0.47,0.093
1993,0.53,0.093
1994,0.58,0.087
1995,0.74,0.087
1996,0.63,0.080
1997,0.77,0.083
1998,0.92,0.083
1999,0.67,0.082
2000,0.67,0.080
2001,0.81,0.080
2002,0.90,0.080
2003,0.88,0.078
2004,0.80,0.084
2005,0.96,0.084
2006,0.91,0.076
2007,0.93,0.079
2008,0.80,0.083
2009,0.93,0.083
2010,1.00,0.078
2011,0.90,0.086
2012,0.91,0.087
2013,0.93,0.085
2014,1.01,0.081
2015,1.15,0.080
2016,1.29,0.075
2017,1.19,0.075
2018,1.12,0.082
2019,1.26,0.082
2020,1.28,0.084
2021,1.13,0.083
