Year,ERA5 (degC),ERA5 uncertainty
1979,0.45,
1980,0.59,
1981,0.62,
1982,0.42,
1983,0.61,
1984,0.40,
1985,0.36,
1986,0.45,
1987,0.61,
1988,0.64,
1989,0.52,
1990,0.75,
1991,0.70,
1992,0.46,
1993,0.51,
1994,0.55,
1995,0.72,
1996,0.59,
1997,0.72,
1998,0.90,
1999,0.64,
2000,0.63,
2001,0.79,
2002,0.89,
2003,0.87,
2004,0.81,
2005,0.98,
2006,0.93,
2007,0.92,
2008,0.79,
2009,0.92,
2010,1.01,
2011,0.87,
2012,0.92,
2013,0.95,
2014,0.99,
2015,1.14,
2016,1.32,
2017,1.23,
2018,1.15,
2019,1.28,
2020,1.32,
2021,1.16,
2022,1.18,
