Year,NOAAGlobalTemp (degC),NOAAGlobalTemp uncertainty
1880,0.13,0.152
1881,0.17,0.149
1882,0.15,0.148
1883,0.07,0.150
1884,-0.01,0.150
1885,0.00,0.151
1886,0.01,0.149
1887,-0.03,0.144
1888,0.12,0.142
1889,0.16,0.143
1890,-0.09,0.143
1891,-0.00,0.142
1892,-0.06,0.142
1893,-0.08,0.142
1894,-0.07,0.137
1895,-0.00,0.135
1896,0.15,0.138
1897,0.15,0.136
1898,-0.03,0.134
1899,0.09,0.133
1900,0.17,0.134
1901,0.09,0.129
1902,-0.01,0.125
1903,-0.13,0.124
1904,-0.21,0.122
1905,-0.03,0.122
1906,0.04,0.126
1907,-0.13,0.123
1908,-0.18,0.120
1909,-0.19,0.120
1910,-0.15,0.123
1911,-0.19,0.125
1912,-0.09,0.125
1913,-0.07,0.126
1914,0.11,0.132
1915,0.16,0.138
1916,-0.07,0.140
1917,-0.15,0.141
1918,-0.05,0.139
1919,-0.00,0.143
1920,0.02,0.134
1921,0.09,0.128
1922,0.00,0.123
1923,-0.00,0.120
1924,0.01,0.119
1925,0.07,0.119
1926,0.18,0.118
1927,0.08,0.116
1928,0.07,0.116
1929,-0.08,0.116
1930,0.14,0.115
1931,0.19,0.117
1932,0.12,0.113
1933,-0.01,0.113
1934,0.14,0.114
1935,0.09,0.112
1936,0.13,0.112
1937,0.24,0.112
1938,0.23,0.114
1939,0.26,0.123
1940,0.41,0.134
1941,0.52,0.142
1942,0.36,0.134
1943,0.35,0.131
1944,0.53,0.128
1945,0.43,0.127
1946,0.24,0.121
1947,0.21,0.115
1948,0.19,0.113
1949,0.17,0.104
1950,0.09,0.103
1951,0.25,0.103
1952,0.29,0.103
1953,0.38,0.106
1954,0.15,0.101
1955,0.12,0.102
1956,0.07,0.102
1957,0.32,0.104
1958,0.37,0.103
1959,0.33,0.103
1960,0.30,0.108
1961,0.34,0.103
1962,0.35,0.101
1963,0.37,0.102
1964,0.11,0.101
1965,0.18,0.103
1966,0.24,0.105
1967,0.25,0.105
1968,0.22,0.106
1969,0.35,0.110
1970,0.31,0.104
1971,0.18,0.104
1972,0.28,0.104
1973,0.44,0.101
1974,0.19,0.098
1975,0.26,0.095
1976,0.18,0.097
1977,0.46,0.097
1978,0.36,0.095
1979,0.47,0.093
1980,0.53,0.094
1981,0.57,0.097
1982,0.44,0.097
1983,0.61,0.096
1984,0.42,0.092
1985,0.41,0.088
1986,0.48,0.081
1987,0.63,0.082
1988,0.64,0.083
1989,0.54,0.082
1990,0.70,0.082
1991,0.64,0.082
1992,0.49,0.085
1993,0.53,0.086
1994,0.59,0.081
1995,0.72,0.079
1996,0.57,0.079
1997,0.76,0.084
1998,0.90,0.082
1999,0.69,0.080
2000,0.67,0.080
2001,0.82,0.082
2002,0.87,0.082
2003,0.89,0.079
2004,0.83,0.077
2005,0.91,0.073
2006,0.88,0.072
2007,0.86,0.072
2008,0.79,0.072
2009,0.89,0.072
2010,0.97,0.072
2011,0.82,0.072
2012,0.88,0.073
2013,0.92,0.072
2014,0.99,0.073
2015,1.17,0.076
2016,1.24,0.078
2017,1.15,0.149
2018,1.07,0.149
2019,1.19,0.149
2020,1.23,0.149
2021,1.09,0.149
2022,1.10,0.241
