Year,GHCN (degC),GHCN uncertainty
1880,-1.13,0.344
1881,-1.06,0.344
1882,-1.09,0.344
1883,-1.29,0.344
1884,-1.33,0.345
1885,-1.19,0.345
1886,-1.14,0.345
1887,-1.11,0.345
1888,-1.05,0.345
1889,-0.92,0.349
1890,-1.14,0.354
1891,-1.17,0.355
1892,-1.15,0.359
1893,-1.20,0.350
1894,-1.08,0.344
1895,-1.08,0.342
1896,-1.00,0.336
1897,-0.93,0.338
1898,-1.06,0.334
1899,-0.88,0.332
1900,-0.81,0.303
1901,-0.79,0.308
1902,-0.95,0.310
1903,-1.04,0.314
1904,-1.10,0.314
1905,-1.00,0.313
1906,-0.82,0.312
1907,-1.26,0.280
1908,-1.08,0.273
1909,-1.05,0.275
1910,-0.99,0.264
1911,-1.12,0.261
1912,-1.12,0.259
1913,-0.95,0.257
1914,-0.69,0.258
1915,-0.72,0.259
1916,-1.10,0.258
1917,-1.26,0.257
1918,-1.14,0.254
1919,-0.96,0.250
1920,-0.99,0.250
1921,-0.78,0.249
1922,-0.90,0.249
1923,-0.92,0.267
1924,-0.88,0.265
1925,-0.78,0.275
1926,-0.65,0.264
1927,-0.84,0.261
1928,-0.77,0.260
1929,-1.11,0.258
1930,-0.75,0.252
1931,-0.65,0.236
1932,-0.66,0.228
1933,-0.99,0.224
1934,-0.70,0.233
1935,-0.81,0.226
1936,-0.76,0.223
1937,-0.65,0.243
1938,-0.47,0.217
1939,-0.54,0.209
1940,-0.56,0.204
1941,-0.54,0.232
1942,-0.58,0.216
1943,-0.57,0.183
1944,-0.44,0.209
1945,-0.71,0.222
1946,-0.65,0.171
1947,-0.60,0.167
1948,-0.58,0.164
1949,-0.71,0.134
1950,-0.97,0.124
1951,-0.71,0.093
1952,-0.70,0.099
1953,-0.44,0.098
1954,-0.77,0.093
1955,-0.76,0.097
1956,-1.04,0.109
1957,-0.68,0.078
1958,-0.50,0.083
1959,-0.56,0.083
1960,-0.65,0.084
1961,-0.53,0.098
1962,-0.49,0.098
1963,-0.43,0.100
1964,-0.86,0.178
1965,-0.77,0.187
1966,-0.70,0.115
1967,-0.63,0.109
1968,-0.76,0.101
1969,-0.73,0.094
1970,-0.60,0.088
1971,-0.66,0.114
1972,-0.81,0.116
1973,-0.30,0.109
1974,-0.83,0.091
1975,-0.50,0.091
1976,-0.87,0.088
1977,-0.39,0.085
1978,-0.53,0.086
1979,-0.47,0.087
1980,-0.33,0.088
1981,-0.11,0.092
1982,-0.52,0.096
1983,-0.13,0.095
1984,-0.57,0.114
1985,-0.54,0.102
1986,-0.34,0.102
1987,-0.19,0.105
1988,-0.05,0.098
1989,-0.27,0.103
1990,0.02,0.105
1991,-0.10,0.103
1992,-0.39,0.107
1993,-0.29,0.112
1994,-0.16,0.112
1995,0.14,0.110
1996,-0.29,0.119
1997,0.00,0.117
1998,0.34,0.135
1999,0.14,0.143
2000,-0.01,0.151
2001,0.21,0.143
2002,0.33,0.138
2003,0.31,0.144
2004,0.18,0.175
2005,0.45,0.183
2006,0.34,0.196
2007,0.48,0.196
2008,0.25,0.177
2009,0.26,0.138
2010,0.51,0.138
2011,0.28,0.137
2012,0.33,0.137
2013,0.40,0.143
2014,0.38,0.140
2015,0.77,0.149
2016,0.88,0.149
2017,0.76,0.149
2018,0.56,0.149
2019,0.77,0.149
2020,0.93,0.149
2021,0.70,0.149
2022,0.71,0.242
