Year,HadSST3 (degC),HadSST3 uncertainty
1850,-0.52,0.179
1851,-0.40,0.178
1852,-0.39,0.168
1853,-0.42,0.157
1854,-0.45,0.143
1855,-0.42,0.147
1856,-0.51,0.144
1857,-0.64,0.157
1858,-0.66,0.160
1859,-0.54,0.169
1860,-0.46,0.179
1861,-0.61,0.206
1862,-0.60,0.215
1863,-0.56,0.225
1864,-0.60,0.210
1865,-0.44,0.232
1866,-0.42,0.222
1867,-0.42,0.217
1868,-0.43,0.198
1869,-0.47,0.186
1870,-0.44,0.168
1871,-0.43,0.174
1872,-0.43,0.164
1873,-0.49,0.159
1874,-0.60,0.161
1875,-0.45,0.152
1876,-0.56,0.152
1877,-0.24,0.156
1878,-0.19,0.150
1879,-0.39,0.131
1880,-0.39,0.130
1881,-0.35,0.125
1882,-0.40,0.125
1883,-0.44,0.112
1884,-0.54,0.101
1885,-0.53,0.098
1886,-0.54,0.094
1887,-0.60,0.102
1888,-0.44,0.104
1889,-0.36,0.116
1890,-0.63,0.126
1891,-0.48,0.130
1892,-0.61,0.130
1893,-0.60,0.132
1894,-0.62,0.130
1895,-0.54,0.131
1896,-0.33,0.124
1897,-0.38,0.123
1898,-0.61,0.122
1899,-0.49,0.121
1900,-0.41,0.127
1901,-0.53,0.120
1902,-0.62,0.115
1903,-0.72,0.114
1904,-0.74,0.114
1905,-0.60,0.112
1906,-0.55,0.111
1907,-0.64,0.110
1908,-0.74,0.108
1909,-0.76,0.102
1910,-0.77,0.105
1911,-0.78,0.103
1912,-0.65,0.098
1913,-0.68,0.089
1914,-0.52,0.100
1915,-0.40,0.111
1916,-0.61,0.108
1917,-0.62,0.116
1918,-0.55,0.121
1919,-0.53,0.116
1920,-0.48,0.109
1921,-0.44,0.099
1922,-0.53,0.094
1923,-0.51,0.087
1924,-0.49,0.088
1925,-0.45,0.090
1926,-0.33,0.088
1927,-0.40,0.083
1928,-0.43,0.083
1929,-0.50,0.083
1930,-0.34,0.084
1931,-0.30,0.085
1932,-0.37,0.083
1933,-0.44,0.086
1934,-0.39,0.085
1935,-0.39,0.080
1936,-0.36,0.078
1937,-0.21,0.079
1938,-0.29,0.085
1939,-0.28,0.095
1940,-0.19,0.102
1941,-0.14,0.103
1942,-0.19,0.129
1943,-0.21,0.132
1944,-0.06,0.120
1945,-0.07,0.128
1946,-0.22,0.125
1947,-0.26,0.128
1948,-0.25,0.133
1949,-0.26,0.099
1950,-0.29,0.097
1951,-0.20,0.094
1952,-0.12,0.091
1953,-0.12,0.090
1954,-0.30,0.090
1955,-0.37,0.086
1956,-0.37,0.080
1957,-0.15,0.079
1958,-0.12,0.076
1959,-0.16,0.073
1960,-0.21,0.071
1961,-0.15,0.069
1962,-0.20,0.069
1963,-0.15,0.072
1964,-0.35,0.069
1965,-0.31,0.069
1966,-0.21,0.068
1967,-0.26,0.063
1968,-0.26,0.059
1969,-0.09,0.060
1970,-0.22,0.059
1971,-0.40,0.059
1972,-0.20,0.058
1973,-0.19,0.055
1974,-0.37,0.056
1975,-0.40,0.055
1976,-0.39,0.056
1977,-0.20,0.054
1978,-0.27,0.054
1979,-0.14,0.049
1980,-0.15,0.051
1981,-0.18,0.053
1982,-0.19,0.057
1983,-0.09,0.054
1984,-0.22,0.053
1985,-0.25,0.051
1986,-0.22,0.052
1987,-0.06,0.053
1988,-0.10,0.054
1989,-0.14,0.055
1990,-0.01,0.059
1991,-0.03,0.061
1992,-0.12,0.062
1993,-0.10,0.065
1994,-0.06,0.066
1995,-0.02,0.068
1996,-0.07,0.066
1997,0.11,0.066
1998,0.21,0.073
1999,-0.01,0.072
2000,0.01,0.072
2001,0.12,0.073
2002,0.16,0.072
2003,0.19,0.072
2004,0.15,0.069
2005,0.18,0.070
2006,0.16,0.069
2007,0.09,0.064
2008,0.05,0.065
2009,0.19,0.066
2010,0.20,0.066
2011,0.08,0.066
2012,0.14,0.068
2013,0.17,0.072
2014,0.27,0.071
2015,0.39,0.068
2016,0.41,0.068
2017,0.30,0.072
2018,0.27,0.066
2019,0.38,0.067
2020,0.37,0.068
2021,0.29,0.067
2022,0.29,0.157
